id,season,date,round,home,away,attendance,kickoff,homeScore,awayScore,temp,rain,wind,source,provenance,weatherSource,reviewed,day,week,weather,slot
2026-2027-2026-07-31-Barry Town United,2026-2027,2026-07-31,1,Barry Town United,Cambrian United,823.0,19:45,2.0,1.0,18.7,0.0,27.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-07-27,Dry,Evening
2026-2027-2026-07-31-Briton Ferry Llansawel,2026-2027,2026-07-31,1,Briton Ferry Llansawel,Ammanford AFC,1185.0,19:45,2.0,1.0,19.3,0.0,12.6,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-07-27,Dry,Evening
2026-2027-2026-07-31-Colwyn Bay,2026-2027,2026-07-31,1,Colwyn Bay,Trefelin Boys & Girls Club,1039.0,19:45,2.0,0.0,16.7,0.0,15.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-07-27,Dry,Evening
2026-2027-2026-07-31-Llandudno FC,2026-2027,2026-07-31,1,Llandudno FC,Flint Town United,614.0,19:45,3.0,2.0,17.7,0.0,15.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-07-27,Dry,Evening
2026-2027-2026-08-01-Cardiff Metropolitan University,2026-2027,2026-08-01,1,Cardiff Metropolitan University,Holywell Town,342.0,14:30,6.0,1.0,22.1,0.0,12.1,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Saturday,2026-07-27,Dry,Afternoon
2026-2027-2026-08-01-Haverfordwest County,2026-2027,2026-08-01,1,Haverfordwest County,Airbus UK Broughton,603.0,14:30,0.0,1.0,18.4,0.0,15.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Saturday,2026-07-27,Dry,Afternoon
2026-2027-2026-08-02-Connah's Quay Nomads,2026-2027,2026-08-02,1,Connah's Quay Nomads,Caernarfon Town,603.0,14:30,1.0,2.0,21.9,0.0,5.5,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Sunday,2026-07-27,Dry,Afternoon
2026-2027-2026-08-02-Penybont FC,2026-2027,2026-08-02,1,Penybont FC,The New Saints,875.0,14:30,0.0,0.0,23.3,0.0,9.6,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Sunday,2026-07-27,Dry,Afternoon
2026-2027-2026-08-07-Airbus UK Broughton,2026-2027,2026-08-07,2,Airbus UK Broughton,Cardiff Metropolitan University,260.0,19:45,0.0,2.0,19.4,0.0,13.4,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-03,Dry,Evening
2026-2027-2026-08-07-Ammanford AFC,2026-2027,2026-08-07,2,Ammanford AFC,Colwyn Bay,812.0,19:45,2.0,2.0,18.8,0.0,7.8,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-03,Dry,Evening
2026-2027-2026-08-07-Caernarfon Town,2026-2027,2026-08-07,2,Caernarfon Town,Penybont FC,1379.0,19:45,1.0,2.0,18.1,0.0,13.7,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-03,Dry,Evening
2026-2027-2026-08-07-Cambrian United,2026-2027,2026-08-07,2,Cambrian United,Briton Ferry Llansawel,847.0,19:45,1.0,1.0,18.2,0.0,8.7,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-03,Dry,Evening
2026-2027-2026-08-07-Flint Town United,2026-2027,2026-08-07,2,Flint Town United,Barry Town United,434.0,19:45,2.0,3.0,18.5,0.0,8.4,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-03,Dry,Evening
