club,ground,town,postcode,region,lat,lng,geo_source,gap_km,ground_hit,postcode_hit
Aberystwyth Town,Park Avenue,Aberystwyth,SY23 1PG,Mid,52.4115422,-4.0802674,ground,0.1,"Park Avenue, Aberystwyth, Ceredigion, Cymru / Wales, SY23 1PF, United ","SY23 1PG, Aberystwyth, Ceredigion, Cymru / Wales, United Kingdom"
Airbus UK Broughton,The Airfield,Broughton,CH4 0DR,North,53.17202,-2.97965,postcode,,,"CH4 0DR, Broughton and Bretton, Broughton, Flintshire, Cymru / Wales, "
Ammanford AFC,Rice Road,Ammanford,SA18 2DL,South,51.79754,-3.99634,postcode,,,"SA18 2DL, Ammanford, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales,"
Bala Town,Maes Tegid,Bala,LL23 7NG,North,52.9124256,-3.6014997,ground,0.5,"Maes Tegid, Castle Street, Bala, Y Bala, Gwynedd, Cymru / Wales, LL23 ","LL23 7NG, Bala, Y Bala, Gwynedd, Cymru / Wales, United Kingdom"
Barry Town United,Jenner Park,Barry,CF62 8DL,South,51.4109137,-3.2657803,ground,0.8,"Jenner Park, Barry Road, Gibbonsdown, Barry, Vale of Glamorgan, Cymru ","CF62 8DL, Barry, Vale of Glamorgan, Cymru / Wales, United Kingdom"
Briton Ferry Llansawel,Old Road,Briton Ferry,SA11 2ET,South,51.6241253,-3.8178323,ground,2.1,"Old Road, Briton Ferry, Baglan, Neath Port Talbot, Cymru / Wales, SA12","SA11 2ET, Briton Ferry, Neath Port Talbot, Cymru / Wales, United Kingd"
Caernarfon Town,The Oval,Caernarfon,LL55 1EN,North,53.1346589,-4.2674794,ground,1.6,"Yr Oval, Stryd Marcws, Caernarfon, Caeathro, Caernarfon, Gwynedd, Cymr","LL55 1EN, Caernarfon, Caeathro, Caernarfon, Gwynedd, Cymru / Wales, Un"
Cambrian United,King George's New Field,Clydach Vale,CF40 2BW,South,51.62648,-3.48129,postcode,,,"CF40 2BW, Cwm Clydach, Rhondda Cynon Taf, Cymru / Wales, United Kingdo"
Cardiff Metropolitan University,Cyncoed Campus,Cardiff,CF23 6XD,South,51.5108011,-3.1621987,ground,0.0,"Cyncoed Campus Library, Caer Cady Close, Lakeside, Cyncoed, Cardiff, C","CF23 6XD, Cyncoed, Cardiff, Cymru / Wales, United Kingdom"
Carmarthen Town,Richmond Park,Carmarthen,SA31 3BQ,South,51.860652,-4.3008576,ground,0.9,"Richmond Park School, Clos y Deri, Johnstown, Carmarthen, Sir Gaerfyrd","SA31 3BQ, Carmarthen, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales"
Cefn Druids,The Rock,Cefn Mawr,LL14 3YD,North,52.9742276,-3.0699165,postcode LL14 3YD (manual fix),0.0,"LL14 3YD, Cefn, Wrexham","Internet Archive (UK), Rounds Green Road, Black Country House, Little "
Colwyn Bay,Llanelian Road,Old Colwyn,LL29 8UN,North,53.2765046,-3.7014523,ground,0.7,"Ffordd Llaneilian, Betws yn Rhos, Old Colwyn, Conwy, Cymru / Wales, LL","LL29 8UN, Old Colwyn, Conwy, Cymru / Wales, United Kingdom"
Connah's Quay Nomads,Deeside Stadium,Connah's Quay,CH5 4HN,North,53.225118,-3.0767897,ground,2.3,"Deeside Stadium, Kelsterton Road, Kelsterton, Connah's Quay, Flintshir","CH5 4HN, Connah's Quay, Flintshire, Cymru / Wales, United Kingdom"
